Ritalin,hiking,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,new environment,Dehydrated,had sex,Florinef,slept not alone,had sex last night,BLT,singing,ate breakfast,Solifenacin,Darifenacin,Probiotic,digestive enzyme,travel,Ribose,Monteluklast,slept lots,Socialising,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,holiday,slept late,Piyo,exercise,A little stressed,shopping,SAM-E,very active aqua class,Superlong nap,Cider,TigerBalm,Rather bad sleep,busy,scary new shit,Social,worked,Friends,day at home,Cetraben cream,caught pokemon,Much sex,long shopping  trip,Cinema,Guarana & Ginseng,studied,went to bed too late,Ginger,Work hard,Hydrocortisone,Vitamin b12,walked,Cerelle,Passionflower,Singing,row
0.0286066340122,0.0,0.0,0.0,0.0,1.91744904197,,2.0,,0.0,2.0,2.0,,0.0,0.0219370539065,1.0155083388,0.0,0.0017957623133,0.0,0.0,0.0,0.0,2.0,2.0,2.0,,2.0,0.0,0.0,1.86657369274,0.0,,0.0,2.0,2.0,1.44095214351,0.0,0.0,2.0,0.0,0.0,,0.659874775498,0.985010922592,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,0.0,0.0017957623133,0.0,0.0,0.0017957623133,0.0,Feverfew
2.0,,,,,2.0,,0.0,,,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,0.0,2.0,,,2.0,2.0,2.0,,,0.0,,0.0,2.0,,0.0,2.0,,,2.0,2.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,2.0,,0.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,Carbomer eye drops
0.0,0.0,0.0,0.0,0.0,2.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,,,2.0,,,0.0,,2.0,2.0,,0.0,,,0.0,,0.0,2.0,,,,0.0,,,,0.0,,,,,,,0.0,0.0,,,0.0,,woke up late
0.0,,,,,0.0,,2.0,,,2.0,2.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,,0.0,0.0,,,2.0,,2.0,0.0,,2.0,0.0,,,0.0,0.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,0.0,,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,alverine
1.96029620957,2.0,2.0,2.0,2.0,0.00641444777596,,2.0,,2.0,2.0,2.0,,0.0,1.95152032463,1.48554999607,0.0,1.89491178276,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.86657369274,2.0,2.0,0.0,,0.0,,2.0,2.0,0.0,1.06579434669,0.0,2.0,2.0,0.0,2.0,,0.825447673848,0.513996073699,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,1.89491178276,0.0,0.0,1.89491178276,0.0,dairy
0.0,,,,,0.0,,2.0,,,2.0,2.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,,,,2.0,,2.0,0.0,,2.0,0.0,,,0.0,0.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,0.0,,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,holiday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept late
0.0,0.0,0.0,0.0,0.0,2.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,,2.0,,,,,2.0,2.0,,0.0,,,0.0,,0.0,2.0,,,,0.0,,,,0.0,,,,,,,0.0,0.0,,,0.0,,Piyo
2.0,,,,,2.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,2.0,2.0,2.0,,,,,0.0,2.0,,0.0,2.0,,,2.0,2.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,2.0,,0.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,exercise
2.0,2.0,2.0,2.0,2.0,0.0,,,,2.0,,,,,2.0,2.0,,2.0,2.0,,,,,,,2.0,,2.0,,0.0,,,2.0,,,0.0,,2.0,,,2.0,,2.0,0.0,,,,2.0,,,,2.0,,,,,,,2.0,2.0,,,2.0,,A little stressed
