didn't really eat lunch,Vitamins,Cod liver oil,physical therapy,IVIG,church,Dancing,Fluids,Biosil,no sleep,Albuterol Inhaler,Naproxen,prayer,Language Learning,Extra Medications,fuck yeah avocado,ate breakfast,danced,ASMR,Coffee,Vitamin D3,Medical Marijuana,trying to clean the house,Zantac,espresso,SPD alternative treatments,sugar,Daily walk,Medical marijuana,slept 12 hours,had sex,Exercise--walking,playing music,Psyllium husk,Weather- rain,Therapy,Swimming,housework,creative writing,took sleeping pill,Benadryl,coffee,Buffered Salmon Oil - DHA - EPA,Aloe Detox Water,Ranitidine,Pet Therapy,Excedrin,Ligament Restore,Quiet,Calcium citrate,breathing exercises,Essential oils,busy,pasta,Tavegyl,worked,sex,Sisu B Calm,no sleep last night,Thyroid-Pro (CanPrev),Turmeric,Vitamin C,Trigger Points,Medication,Cetirizine,home alone,Deep rest,walked,hot,B12 timed release,cuddled kitten,Vitamin d,cake,AOR Zinc-Copper Balance,Meditation,masturbated,low protein,pasta and veggies,massage,TENS Unit,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,didn't really eat lunch
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,took sleeping pill
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,,,,,,Benadryl
,2.0,,,,2.0,,2.0,,0.0,,,,0.0,2.0,,,,0.0,2.0,,2.0,,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,2.0,2.0,,,,,,,,2.0,,0.0,,,,,2.0,2.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,2.0,,,,2.0,2.0,coffee
,,,,,,0.0,,2.0,,,2.0,2.0,,,2.0,,,,,,,0.0,,,,,,,,,0.0,2.0,,,2.0,2.0,,2.0,,,,,,,,,,2.0,,,,2.0,,2.0,,2.0,0.0,,2.0,,,0.0,,,,2.0,,,2.0,2.0,,,2.0,,,,,,,Buffered Salmon Oil - DHA - EPA
,0.0,,,,0.0,,0.0,,2.0,,,,2.0,0.0,,,,2.0,0.0,,0.0,,,2.0,2.0,,2.0,2.0,2.0,,0.0,,,0.0,0.0,,,,,,2.0,,,,2.0,,,,,0.0,0.0,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,0.0,,,,0.0,0.0,Aloe Detox Water
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,,,,,,Ranitidine
,2.0,,,,2.0,,2.0,,0.0,,,,0.0,2.0,,,,0.0,2.0,,2.0,,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,2.0,2.0,,,,,,0.0,,2.0,,,,,,,2.0,2.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,2.0,,,,2.0,2.0,Pet Therapy
,,2.0,,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,Excedrin
,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,2.0,,,Ligament Restore
,,,,,,2.0,,0.0,,,0.0,0.0,,,0.0,,,,,,,2.0,,,,,,,,,2.0,0.0,,,0.0,0.0,,0.0,,,,2.0,,,,,,,,,,0.0,,0.0,,0.0,2.0,,0.0,,,2.0,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,Quiet
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,,,,,,Calcium citrate
,0.0,,,,0.0,,0.0,,2.0,,,,2.0,0.0,,,,2.0,0.0,,0.0,,,2.0,2.0,,2.0,2.0,2.0,,0.0,,,0.0,0.0,,,,,,2.0,,0.0,,2.0,,,,,,0.0,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,0.0,,,,0.0,0.0,breathing exercises
,0.0,,,,0.0,,0.0,,2.0,,,,2.0,0.0,,,,2.0,0.0,,0.0,,,2.0,2.0,,2.0,2.0,2.0,,0.0,,,0.0,0.0,,,,,,2.0,,0.0,,2.0,,,,,0.0,,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,0.0,,,,0.0,0.0,Essential oils
,2.0,,,,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,0.0,,1.86393446242,0.0,,2.0,1.59459182544,0.0,,0.0,,,0.0,2.0,2.0,,0.0,,,0.0,,2.0,2.0,,,0.0,,0.0,2.0,,0.0,0.0,,2.0,0.0,,,0.0,,,0.0,0.0,,,0.0,2.0,,,,2.0,2.0,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pasta
,,,,,,2.0,,0.0,,,0.0,0.0,,,0.0,,,,,,,2.0,,,,,,,,,2.0,0.0,,,0.0,0.0,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,,,0.0,2.0,,0.0,,,2.0,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,Tavegyl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worked
,,,,,,2.0,,0.0,,,0.0,0.0,,,0.0,,,,,,,2.0,,,,,,,,,2.0,0.0,,,0.0,0.0,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,2.0,,0.0,,,2.0,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,sex
,,,,,,0.0,,2.0,,,2.0,2.0,,,2.0,,,,,,,0.0,,,,,,,,,0.0,2.0,,,2.0,2.0,,2.0,,,,0.0,,,,,,2.0,,,,2.0,,2.0,,2.0,,,2.0,,,0.0,,,,2.0,,,2.0,2.0,,,2.0,,,,,,,Sisu B Calm
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,no sleep last night
,,,,,,2.0,,0.0,,,0.0,0.0,,,0.0,,,,,,,2.0,,,,,,,,,2.0,0.0,,,0.0,0.0,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,0.0,2.0,,,,,2.0,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,Thyroid-Pro (CanPrev)
,2.0,,,,2.0,,2.0,,0.0,0.0,,,0.0,2.0,,,,0.0,2.0,,2.0,,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,2.0,2.0,,,,,0.0,0.0,,2.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,2.0,,,,2.0,2.0,Turmeric
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,Vitamin C
,,,,,,0.0,,2.0,,,2.0,2.0,,,2.0,,,,,,,0.0,,,,,,,,,0.0,2.0,,,2.0,2.0,,2.0,,,,0.0,,,,,,2.0,,,,2.0,,2.0,,2.0,0.0,,2.0,,,,,,,2.0,,,2.0,2.0,,,2.0,,,,,,,Trigger Points
,2.0,,,,2.0,,2.0,,0.0,,,,0.0,2.0,,,,0.0,2.0,,2.0,,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,2.0,2.0,,,,,,0.0,,2.0,,0.0,,,,,2.0,2.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,2.0,2.0,Medication
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,Cetirizine
,,2.0,,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,home alone
,,,,,,2.0,,0.0,,,0.0,0.0,,,0.0,,,,,,,2.0,,,,,,,,,2.0,0.0,,,0.0,0.0,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,0.0,2.0,,0.0,,,2.0,,,,,,,0.0,0.0,,,0.0,,,,,,,Deep rest
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,walked
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hot
,,,,,,2.0,,0.0,,,0.0,0.0,,,0.0,,,,,,,2.0,,,,,,,,,2.0,0.0,,,0.0,0.0,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,0.0,2.0,,0.0,,,2.0,,,,0.0,,,,0.0,,,0.0,,,,,,,B12 timed release
,,,,,,2.0,,0.0,,,0.0,0.0,,,0.0,,,,,,,2.0,,,,,,,,,2.0,0.0,,,0.0,0.0,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,0.0,2.0,,0.0,,,2.0,,,,0.0,,,0.0,,,,0.0,,,,,,,cuddled kitten
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,Vitamin d
,,2.0,,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,cake
,,,,,,2.0,,0.0,,,0.0,0.0,,,0.0,,,,,,,2.0,,,,,,,,,2.0,0.0,,,0.0,0.0,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,0.0,2.0,,0.0,,,2.0,,,,0.0,,,0.0,0.0,,,,,,,,,,AOR Zinc-Copper Balance
,0.0,,,,0.0,,0.0,,2.0,,,,2.0,0.0,,,,2.0,0.0,,0.0,,,2.0,2.0,,2.0,2.0,2.0,,0.0,,,0.0,0.0,,,,,,2.0,,0.0,,2.0,,,,,0.0,0.0,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,0.0,0.0,Meditation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,masturbated
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low protein
,,2.0,,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,pasta and veggies
,0.0,,,,0.0,,0.0,,2.0,,,,2.0,0.0,,,,2.0,0.0,,0.0,,,2.0,2.0,,2.0,2.0,2.0,,0.0,,,0.0,0.0,,,,,,2.0,,0.0,,2.0,,,,,0.0,0.0,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,0.0,,,,,0.0,massage
,0.0,,,,0.0,,0.0,,2.0,,,,2.0,0.0,,,,2.0,0.0,,0.0,,,2.0,2.0,,2.0,2.0,2.0,,0.0,,,0.0,0.0,,,,,,2.0,,0.0,,2.0,,,,,0.0,0.0,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,0.0,,,,0.0,,TENS Unit
