Alcohol,physical therapy,Caffeine,Sunlight,Synthroid,Aromatherapy,Albuterol Inhaler,Ambien CR,rebounding,Acupuncture,birth control,Magnesium glycinate,5-htp,Nasonex,Claritin,tumeric extract,Strattera,Low oxalate,Zofran,Hydroxyzine,Allergy Shots,eye ointment,gluten free,meds,Snooze,Famotidine,DEHA,Vitamin b complex,Veggies,Benadryl,Methylcobalamine,Ranitidine,strapping of shoulder,Trigger Points,therapy session,Tylenol 3,Astelin,Calcium citrate,Vitamin C,heating pads,Norco,Tavegyl,catheter,THC,Turmeric,Allegra,Klonopin,Cetirizine,Goth clubbing,CBD,Singulair,Fish oil,Snacks,stool softener,Rest,CoQ10,Vitamin b12,Cannabis,Post-op ice device,Zinc,Vitamin d,Ice pack,Melatonin,LUSH acne spot-treatment,massage,row
0.0,0.0,,2.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,strapping of shoulder
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trigger Points
,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,therapy session
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tylenol 3
0.0,0.0,,2.0,0.0,,,0.0,,0.0,0.0,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,2.0,0.000475121594913,,0.0,0.0,0.0,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,0.0,,0.0,,,,-2.22044604925e-16,0.0,0.0,,,0.0,,0.000475121594913,0.0541615246079,,0.0,0.0,-2.22044604925e-16,0.00463616100529,,0.0,0.0,0.0,0.00463616100529,,0.0,-2.22044604925e-16,-2.22044604925e-16,0.0,-2.22044604925e-16,,,Astelin
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,Calcium citrate
0.0,0.0,,2.0,0.0,,0.0,0.0,,0.0,0.0,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,2.0,0.000475121594913,,0.0,0.0,0.0,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,0.0,,0.0,0.0,,0.0,,-2.22044604925e-16,0.0,,0.0,0.0,,,0.0,0.0,0.000475121594913,0.0541615246079,0.0,0.0,0.0,-2.22044604925e-16,0.00463616100529,,0.0,0.0,0.0,0.00463616100529,,0.0,-2.22044604925e-16,0.0162071993394,0.0,-2.22044604925e-16,,,Vitamin C
0.0,0.0,,2.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,heating pads
0.0,0.0,,2.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,Norco
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tavegyl
