Triamcinolone,didn't really eat lunch,studied,Ritalin,hiking,allergy shot,Social,Cyclizine,hot,Caffeine,made challah,vacation,Dehydrated,walked,slept not alone,slept lots,Work hard,singing,worked,ate breakfast,Solifenacin,Socialising,tumblr,Darifenacin,Probiotic,good breakfast,travel,cooking,Ribose,Monteluklast,gluten ,sugar,vitamin D tablets,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,holiday,Friends,had sex last night,exercise,long sleep,gaming,shopping,gluten,SAM-E,sitting,Cider,Superlong nap,coursera,scary new shit,marijuana,weekend shopping,went to bed too late,busy,day after weights,House cleaning,Amitryptiline,bunny cuddles,got stuff done,ramen,Breakfast,Cetraben cream,church,heavy lifting,slept in,salad,healthy dinner,Guarana & Ginseng,restaurant,Ginger,Much sex,shower,cooked,Vitamin b12,Cabergoline,magnesium ionic,Cerelle,Meditation,Passionflower,Singing,Trip,Cinema,row
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,sugar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,vitamin D tablets
,,,0.0,,,0.0,0.0,,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,,,,,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,Ate too late
,,,0.0,,,0.0,0.0,,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,,,,0.0,,0.0,,0.0,2.0,2.0,0.0,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,Feverfew
,,,0.0,,,0.0,0.0,,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,,,,0.0,0.0,,,0.0,2.0,2.0,0.0,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,Carbomer eye drops
,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,woke up late
,,,0.0,,,0.0,0.0,,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,,,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,alverine
,,,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0125033235101,,2.0,,2.0,2.0,0.0,0.0,,2.0,2.0,,,,2.0,2.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,0.0,0.0,,2.0,,2.0,0.0102567593043,0.0,0.0,0.0,,0.0,0.0419878427904,,,,,,,0.0,2.0,,,0.0,0.0,0.0,2.0,,2.0,2.0,,0.0,2.0,,,2.0,,2.0,2.0,,2.0,dairy
,,,2.0,,,2.0,2.0,,,,,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0,,,,2.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,,,,,2.0,,2.0,0.0,,0.0,,,0.0,2.0,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,,,2.0,,,2.0,,2.0,2.0,,2.0,holiday
,0.0,,0.0,,,0.0,0.0,,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,0.0,,0.0,0.0,,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,2.0,2.0,,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,2.0,0.0,0.0,0.0,,,2.0,,,0.0,,,,,,0.0,2.0,0.0,0.0,,,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,Friends
,,,2.0,,,2.0,2.0,,,,,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0,,,,2.0,2.0,2.0,,2.0,0.0,0.0,2.0,,,,,,,2.0,,2.0,0.0,,0.0,,,0.0,2.0,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,,,2.0,,,2.0,,2.0,2.0,,2.0,had sex last night
,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,exercise
2.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,long sleep
,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,gaming
,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,shopping
