,,,,,0.0,,,,,,2.0,,,0.0,,,,0.0,,,,,2.0,,,,,,,,,,,,0.0,2.0,,0.0,,,,,0.0,,,,,,,,,2.0,,0.0,2.0,,,,0.0,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,0.0,,2.0,,Aspirin
,,,2.0,0.0,,,,,,2.0,2.0,,,0.0,0.0,,,0.0,,,,,2.0,,,,,,,,,,,2.0,0.0,2.0,,0.0,,,0.0,,0.0,,,,,,,,,2.0,,0.0,2.0,,,,0.0,0.0,2.0,,,0.0,,,,,,,0.0,2.0,2.0,0.0,,,,,,,,,,2.0,,,0.0,,,,0.0,2.0,,2.0,2.0,2.0,,,,,,0.0,2.0,,,,0.0,,,,2.0,0.0,,2.0,,dairy
,,,,,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,0.0,,,,,0.0,2.0,,0.0,0.0,,,2.0,0.0,,,,,0.0,,0.0,2.0,,2.0,,,,0.0,,0.0,0.0,,,,,,,0.0,2.0,2.0,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,,,,,,,2.0,0.0,,,0.0,,0.0,0.0,,,,2.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,2.0,,,,,,0.0,,,Chocolate after 6pm
0.0,,,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,2.0,,0.0,,0.0,2.0,0.0,2.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,2.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,2.0,,,0.0,,,,2.0,0.0,,2.0,0.0,0.0,,,0.0,,,Rest
0.0,,,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,2.0,,0.0,,0.0,2.0,0.0,2.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,2.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,2.0,,,0.0,,,,2.0,0.0,,2.0,0.0,0.0,,,0.0,,,Post-op ice device
,,,,2.0,2.0,,,,,,0.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,2.0,0.0,,2.0,,,,,2.0,,,,,,,,,0.0,,2.0,0.0,,,,2.0,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,2.0,,0.0,,Lexapro
,,,,,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,0.0,0.0,,,,,2.0,,0.0,0.0,,,2.0,0.0,,,,,0.0,,0.0,2.0,,2.0,,,,0.0,,0.0,0.0,,,,,,,0.0,2.0,2.0,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,,,,,,,2.0,0.0,,,0.0,,0.0,0.0,,,,2.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,2.0,,,,,,0.0,,,bacon
,,,,,,2.0,2.0,,2.0,,,2.0,,,,2.0,2.0,,2.0,2.0,,,,2.0,,,2.0,2.0,,,0.0,2.0,,,,,2.0,,2.0,0.0,,0.0,,,,2.0,,2.0,2.0,,,,,,,2.0,0.0,0.0,,,,2.0,2.0,,2.0,2.0,,0.0,2.0,,,,,,,0.0,2.0,,,2.0,,2.0,2.0,,,,0.0,2.0,2.0,2.0,,,,,,,,2.0,,2.0,2.0,,,2.0,,2.0,0.0,,,,,,2.0,,,slept 7 hours
0.0,,,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,2.0,,0.0,,0.0,2.0,0.0,2.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,2.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,2.0,,,0.0,,,,2.0,0.0,,2.0,0.0,0.0,,,0.0,,,Ice pack
0.0,,,,,,0.0,0.0,2.0,0.0,,,0.978903501476,0.0,,,0.00260367374404,0.0,,0.00178328518438,0.0,0.0,0.0,,0.0,2.0,0.0,,0.00260367374404,0.0,0.0,2.0,0.0,0.0,,,,0.0,,0.0,1.98752948717,,0.428571865587,,0.0,2.0,0.00178328518438,2.0,0.0,0.0,,,,0.0,,,0.0,2.0,1.07218762745,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,,,,,,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,,,0.0,,,,,1.80077029601,,0.0,0.0,,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,,Claritin
0.0,,,,,,0.0,0.00260367374404,2.0,0.0,,,0.90685951314,0.0,,,0.0,0.0,,0.00868715667984,0.0,0.0,0.0,,0.0,2.0,0.0,0.00260367374404,,0.0,0.0,2.0,0.0,0.0,,,,0.00260367374404,,0.00260367374404,1.99631164109,,0.48924097738,,0.0,2.0,0.00868715667984,2.0,0.00260367374404,0.0,,,,0.0,,,0.0,2.0,1.14392649786,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,,,,,,0.0,2.0,0.00260367374404,,,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.00260367374404,0.00260367374404,0.00260367374404,,,0.0,,,,,1.75549053732,,0.0,0.00260367374404,,,0.0,2.0,0.00260367374404,2.0,2.0,0.0,0.0,,,0.00260367374404,,,Strattera
0.0,,,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,2.0,,0.0,,0.0,2.0,0.0,2.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,2.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,2.0,,,0.0,,,,2.0,0.0,,2.0,0.0,0.0,,,0.0,,,Zofran
