headache,Yoga,JBR,Infusion ,Dallas,prodrome,Happy A,Sunday Funday,Research,Remicade Maintenence,Endo Appt,Back Home ,JBR Launch ,Bactrim,Contemplative ,The Office ,Recent gaming,Mom's Day,Beautiful Day,Family Day,Massage,GR ,OKC ,TCB,apathetic,Volunteer,Stress,lonely,Emma,Dinner with GR,Daveless,Depressed,Flare,Ruptured Cyst,Upset,No Period,New Car!!!,headache free,RA Flare,Rain ,THC,Cleaning ,Janet,Busy Day,Massage ,had sex,Tired,depressed,Lots of work,At Home,Errands,Dinner with Janet,Rest,bad sleep,Montelukast,alcohol,Dinner with Becky,exercise,Ibuprofen,Tuesday,Car Shop,happy,Canadian Bacon,Regular Day,Upped My Glumetza,JBR Meeting ,row
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,RA Flare
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Rain 
2.0,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,2.0,,,0.0,,,,,,,,,2.0,2.0,,,,,,,,,,0.0,,,,,,2.0,2.0,0.0,,2.0,2.0,,,2.0,,,,,THC
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Cleaning 
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Janet
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Busy Day
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Massage 
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,had sex
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Tired
2.0,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,2.0,,,0.0,,,,,,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,2.0,2.0,0.0,,2.0,2.0,,,2.0,,,,,depressed
,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,,2.0,,,2.0,2.0,,0.0,2.0,2.0,2.0,Lots of work
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,At Home
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Errands
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Dinner with Janet
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Rest
0.0,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,0.0,,,2.0,,,,,,,2.0,,,,,,,0.0,2.0,,0.0,0.0,,,0.0,,,,,bad sleep
0.0,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,0.0,,,2.0,,,,,,,2.0,,,,,,0.0,,2.0,,0.0,0.0,,,0.0,,,,,Montelukast
2.0,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,2.0,,,0.0,,,,,,,,,2.0,2.0,,,0.0,,,,,,,0.0,,,,,,2.0,2.0,,,2.0,2.0,,,2.0,,,,,alcohol
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,2.0,0.0,0.0,0.0,Dinner with Becky
0.0,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,0.0,,,2.0,,,,,,,2.0,,,,,,0.0,0.0,2.0,,,0.0,,,0.0,,,,,exercise
0.0,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,0.0,,,2.0,,,,,,,2.0,,,,,,0.0,0.0,2.0,,0.0,,,,0.0,,,,,Ibuprofen
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,,2.0,0.0,0.0,0.0,Tuesday
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,,,2.0,0.0,0.0,0.0,Car Shop
0.0,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,0.0,,,2.0,,,,,,,2.0,,,,,,0.0,0.0,2.0,,0.0,0.0,,,,,,,,happy
,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,,,,2.0,,,2.0,2.0,,,2.0,2.0,2.0,Canadian Bacon
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,,0.0,0.0,Regular Day
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,,0.0,Upped My Glumetza
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,,JBR Meeting 
