Home physio exercises,Bunny snuggles,family,Cod liver oil,physical therapy,IVIG,snuggles,Prilosec,ironing,long shopping  trip,Osteopathy,sex,Lots of kitty love,cake,Beer,Lots of cleaning,Pantoprazole,aqua therapy,dozed,Went out on date,played video games,Metformin,Lots of travel,ate breakfast,snuggly cat,party,Vitamin D3,Prednisone,trying to clean the house,Citalopram,walked,travel,Zantac,met a new cat,bunny cuddles,cooking,Physio,Topiramate,Psyllium husk,long walk,ponstan,Puppies,drank alcohol,slept late,bbq,Paracatamol with codeine,Ranitidine,exercised,Excedrin,Ligament Restore,very active aqua class,stress,Progesterone,Vitamin B,Migraine herb feverfew tablets,slept in,Magnesium,Tranexamic acid,Bunny cuddles,swimming,Pokemon go,Daytime nap,popcorn,lots of walking,picnic,masturbated,Gardening,Went out on adventures,home alone,went swimming,Lazy day,Zomig,psychologist,not great sleep,worked in garden,climbed stairs,new environment,exercise,Late sleep,Methotrexate,had sex,Multi-vitamin,soft drink,pasta and veggies,Imodium,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zantac
2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,met a new cat
2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,bunny cuddles
2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,0.0,,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,cooking
0.0,0.0,2.0,,2.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,,2.0,2.0,0.0,2.0,,2.0,2.0,,,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,,0.0,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,2.0,2.0,,0.0,0.0,2.0,,2.0,Physio
0.0,0.0,2.0,,2.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,,2.0,2.0,0.0,2.0,,2.0,2.0,,,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.0,,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,2.0,2.0,,0.0,0.0,2.0,,2.0,Topiramate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Psyllium husk
2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,long walk
0.0,0.0,2.0,,2.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,,2.0,2.0,0.0,2.0,,2.0,2.0,,,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,,2.0,,0.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,2.0,2.0,,0.0,0.0,2.0,,2.0,ponstan
0.0,0.0,2.0,,2.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,,2.0,2.0,0.0,2.0,,2.0,2.0,,,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,2.0,2.0,,0.0,0.0,2.0,,2.0,Puppies
