played video games,vacuuming,hiking,thanksgiving dinner,haircut,hot,almonds,had sex,Pokemon go,Amitriptyline,Cat,flaxseed and fybogel,ate breakfast,Ventolin,Vitamin D3,Solpadeine Max,1 slice of cheese,advil,Singing,Infection,spinach risotto,Physio,ate dairy,dairy,8 hours sleep,treadmill,Solpadol,ate lots,broken sleep,banana,exercise,Cat ,busy,sushi,shopping,BLT,SAD Light Box,Magnesium citrate,Vitamin C,Calcium,pilates,Magnesium,Iron,egg white dlite,ate garlic,1 slice of cheese ,slept in chair,Daytime nap,Wellbutrin,archery,Iodine,doritos,home alone,Cinema,Sertraline,Solpadeine,12 hours sleep,walked,daytime nap,12K Steps,cooked,Vitamin b12,rice noodles,11 hours of sleep,did photography,electric wheelchair,ate a slice of cheese,massage,Ate junk food,row
2.0,,,,,2.0,,,2.0,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,2.0,,,0.0,,0.0,,,,,,,,,,,,,2.0,2.0,,,2.0,,,,,0.0,,,2.0,0.0,,,,Iodine
,2.0,,0.0,0.0,,0.0,,,2.0,0.0,0.0,,,2.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,2.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,2.0,,doritos
0.0,,,,,0.0,,,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,2.0,,,,,,,,,,,2.0,,,0.0,,,0.0,,,,,2.0,,,0.0,2.0,,,,home alone
0.0,,,,,0.0,,,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,2.0,,,,,,,,,,,2.0,,0.0,,,,0.0,,,,,2.0,,,0.0,2.0,,,,Cinema
,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,0.0,2.0,2.0,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,,0.0,Sertraline
,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solpadeine
0.0,,,,,0.0,,,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,2.0,,,,,,,,,,,2.0,,0.0,0.0,,,,,,,,2.0,,,0.0,2.0,,,,12 hours sleep
,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,0.0,2.0,2.0,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,,0.0,walked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daytime nap
,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,0.0,2.0,2.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,,,0.0,12K Steps
,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,0.0,2.0,2.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,,,,,,,,0.0,cooked
2.0,,,,,2.0,,,2.0,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,2.0,,,0.0,,0.0,,,,,,,,,,,0.0,,2.0,2.0,,,2.0,,,,,,,,2.0,0.0,,,,Vitamin b12
,2.0,,0.0,0.0,,0.0,,,2.0,0.0,0.0,,,2.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,2.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,2.0,,rice noodles
,,0.0,,,,,,,,,,,,,,2.0,0.0,,,,,,,,2.0,,,,0.0,0.0,,0.0,,2.0,,,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,11 hours of sleep
0.0,,,,,0.0,,,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,2.0,,,,,,,,,,,2.0,,0.0,0.0,,,0.0,,,,,2.0,,,,2.0,,,,did photography
2.0,,,,,2.0,,,2.0,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,2.0,,,0.0,,0.0,,,,,,,,,,,0.0,,2.0,2.0,,,2.0,,,,,0.0,,,2.0,,,,,electric wheelchair
,,0.0,,,,,,,,,,,,,,2.0,0.0,,,,,,,,2.0,,,,0.0,0.0,,0.0,,2.0,,,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,ate a slice of cheese
,0.0,,2.0,2.0,,2.0,,,0.0,2.0,2.0,,,0.0,,,,2.0,,2.0,,,,,,,,,,,2.0,,2.0,,2.0,2.0,,0.0,,,,,2.0,,,2.0,,,,,2.0,,,,,,,,,,,2.0,,,,,,,massage
,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,0.0,2.0,2.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,Ate junk food
