Wear shoulder brace,didn't really eat lunch,napped well,grapes,Buteyko  breathing exercises ,More stretching,allergy shot,fast food,3 drinks,marijuana,Protecting back,had sex,walked,Lying flat,Miralax low dose at night,Woke Up With Alarm,drank alcohol,breakfast,Better sleep,fuck yeah avocado,took a bath ,ate breakfast,haircut,washing up,busy,cooked breakfast,Zofran,Hydroxyzine,vacation,gluten free,bed day,nap,dairy,dairy free,party,Ambien CR,banana,exercise,ate red meat,cuddled kitten,Oxynorm,Slept well,gluten,coconut,Weighted Blanket,Superlong nap,read science book,had sex ,blowjob,listen to music ,heating pads,Norco,very little sleep,heavy physcial exertion,Late lunch,mass transit,read book,grains,Freezie wrap,didn't eat breakfast,no breakfast,ate grains,studied,cuddles!,Awesome cheat day,had sex last night,12K Steps,new environment,bed late,butternut squash risotto,Poor sleep (hotel),cocodamol,ate at a restaurant,drawing,short nap,row
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,Zofran
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,Hydroxyzine
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,vacation
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,gluten free
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,bed day
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,nap
0.0,0.0,0.0,,,0.0,,0.0,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.302696962667,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0268279758294,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,0.0,,0.00296363650518,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,dairy
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,dairy free
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,party
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,Ambien CR
