chicken wild rice soup,8k steps,Phyical Therapy - stretches,Caffeine,Osteopathy,Toprol,Amitriptyline,busy,corncakes,avocado bun,coco pops,fiber art - sewing,grilled cheese,Flexeril,11K steps,home alone,bubble and squeak roast,Corticosteroids,Tretinoin,picnic,bed day,Bicarb on scalp,slept 7 hours,Charcoal,Relaxing,no sleep,skipped meals,Clinda-derm,Synthroid,lots of desk work,excedrin migraine,Low-FODMAP diet,broken sleep,exercise,Inderal,spicy mock beef,Vitamin B,listen to music ,Probiotics,ate salsa,pasta,exercised,crafting,Medication,slimfast,Zomig,drank wine,Daytime nap,Vitamin d,Contraceptive pill,buses,physical therapy,Omeprazole,ironing,Metformin,Went out on date,vacation,15K steps,orange and verveine tea,worked in garden,banana,bbq,shopping,slept >12 hrs,scary new shit,soy or tofu main dish eaten,2K steps,Tranexamic acid,Gardening,not great sleep,soup,catered food,Church,soft drink,Dicyclomine,studied,fry up breakfast,allergy shot,Inolaxol,marijuana,minestrone,Pantoprazole,Soy Sauce,Iberogast,Fexofenadine,cooked breakfast,severe pain,lift x2,Lazy day,Achy breaky rub,ate gluten,pizza,Enada,laundry,dumpling stew,Kayaking,Progesterone,no breakfast,Car travel,Iodine,big burger,Montelukast,bone broth,long walk,Multi-vitamin,row
,,,2.0,,,,,2.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,,2.0,,,,,,,,,,,2.0,,,2.0,,,,,2.0,2.0,,,,,coco pops
,,,0.0,,,,,0.0,0.0,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,fiber art - sewing
,,,0.0,,,,,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,grilled cheese
,2.0,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,2.0,,,,,,,Flexeril
,0.0,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,11K steps
2.0,,0.0,,0.0,,,2.0,,,,,,,,,0.0,0.0,2.0,2.0,2.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,,2.0,2.0,,,0.0,,,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,,0.0,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,,,,0.0,0.0,2.0,,2.0,,2.0,,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,,2.0,2.0,,,,0.0,2.0,0.0,,home alone
2.0,,0.0,,0.0,,,2.0,,,,,,,,0.0,,0.0,2.0,2.0,2.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,,2.0,2.0,,,0.0,,,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,,0.0,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,,,,0.0,0.0,2.0,,2.0,,2.0,,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,,2.0,2.0,,,,0.0,2.0,0.0,,bubble and squeak roast
2.0,,0.0,,0.0,,,2.0,,,,,,,,0.0,0.0,,2.0,2.0,2.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,,2.0,2.0,,,0.0,,,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,,0.0,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,,,,0.0,0.0,2.0,,2.0,,2.0,,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,,2.0,2.0,,,,0.0,2.0,0.0,,Corticosteroids
0.0,,2.0,,2.0,,,0.0,,,,,,,,2.0,2.0,2.0,,0.0,0.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,,2.0,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,Tretinoin
0.0,,2.0,,2.0,,,0.0,,,,,,,,2.0,2.0,2.0,0.0,,0.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,,2.0,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,picnic
0.0,,2.0,,2.0,,,0.0,,,,,,,,2.0,2.0,2.0,0.0,0.0,,,,,2.0,0.0,0.0,2.0,,0.0,2.0,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,,2.0,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,bed day
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Bicarb on scalp
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept 7 hours
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Charcoal
2.0,,0.0,,0.0,,,2.0,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,,,,,2.0,2.0,0.0,,2.0,0.0,,2.0,2.0,,,0.0,,,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,,0.0,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,,,,0.0,0.0,2.0,,2.0,,2.0,,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,,2.0,2.0,,,,0.0,2.0,0.0,,Relaxing
0.0,,2.0,,2.0,,,0.0,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,,,,2.0,,0.0,2.0,,0.0,2.0,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,,2.0,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,no sleep
0.0,,2.0,,2.0,,,0.0,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,,,,2.0,0.0,,2.0,,0.0,2.0,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,,2.0,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,skipped meals
2.0,,0.0,,0.0,,,2.0,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,,,,0.0,2.0,2.0,,,2.0,0.0,,2.0,2.0,,,0.0,,,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,,0.0,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,,,,0.0,0.0,2.0,,2.0,,2.0,,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,,2.0,2.0,,,,0.0,2.0,0.0,,Clinda-derm
,2.0,,,,,0.0,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,2.0,,,,,,,Synthroid
0.0,,2.0,,2.0,,,0.0,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,2.0,,,2.0,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,,2.0,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,lots of desk work
2.0,,0.0,,0.0,,,2.0,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,,,,0.0,2.0,2.0,0.0,,2.0,,,2.0,2.0,,,0.0,,,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,,0.0,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,,,,0.0,0.0,2.0,,2.0,,2.0,,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,,2.0,2.0,,,,0.0,2.0,0.0,,excedrin migraine
,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Low-FODMAP diet
0.0,,2.0,,2.0,,,0.0,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,,,0.0,,,2.0,,,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,,2.0,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,broken sleep
0.0,,2.0,,2.0,,,0.0,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,,0.0,,,,2.0,,,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,,2.0,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,exercise
,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Inderal
,,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,spicy mock beef
2.0,,0.0,,0.0,,,2.0,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,,2.0,2.0,,,,,,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,,0.0,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,,,,0.0,0.0,2.0,,2.0,,2.0,,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,,2.0,2.0,,,,0.0,2.0,0.0,,Vitamin B
,,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,listen to music 
,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Probiotics
0.0,,2.0,,2.0,,,0.0,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,,0.0,0.0,,,2.0,,,,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,,2.0,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,ate salsa
,,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,pasta
0.0,,2.0,,2.0,,,0.0,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,,0.0,0.0,,,2.0,,,0.0,,,0.0,2.0,0.0,2.0,2.0,0.0,,,2.0,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,exercised
0.0,,2.0,,2.0,,,0.0,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,,0.0,0.0,,,2.0,,,0.0,,0.0,,2.0,0.0,2.0,2.0,0.0,,,2.0,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,crafting
2.0,,0.0,,0.0,,,2.0,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,,2.0,2.0,,,0.0,,,2.0,,2.0,2.0,,2.0,0.0,0.0,2.0,,,0.0,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,,,,0.0,0.0,2.0,,2.0,,2.0,,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,,2.0,2.0,,,,0.0,2.0,0.0,,Medication
0.0,,2.0,,2.0,,,0.0,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,,2.0,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,slimfast
2.0,,0.0,,0.0,,,2.0,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,,2.0,2.0,,,0.0,,,2.0,,2.0,2.0,0.0,2.0,,0.0,2.0,,,0.0,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,,,,0.0,0.0,2.0,,2.0,,2.0,,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,,2.0,2.0,,,,0.0,2.0,0.0,,Zomig
2.0,,0.0,,0.0,,,2.0,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,,2.0,2.0,,,0.0,,,2.0,,2.0,2.0,0.0,2.0,0.0,,2.0,,,0.0,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,,,,0.0,0.0,2.0,,2.0,,2.0,,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,,2.0,2.0,,,,0.0,2.0,0.0,,drank wine
0.0,,2.0,,2.0,,,0.0,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,,,,2.0,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,Daytime nap
,2.0,,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,2.0,0.0,,,,,,,,2.0,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,,,,2.0,0.0,,,0.0,2.0,,,2.0,0.0,0.0,,,,,Vitamin d
,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Contraceptive pill
2.0,,0.0,,0.0,,,2.0,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,,2.0,2.0,,,0.0,,,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,,,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,,,,0.0,0.0,2.0,,2.0,,2.0,,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,,2.0,2.0,,,,0.0,2.0,0.0,,buses
0.0,,2.0,,2.0,,,0.0,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,,2.0,,,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,physical therapy
,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Omeprazole
0.0,,2.0,,2.0,,,0.0,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,,2.0,0.0,,,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,ironing
