didn't really eat lunch,Slept,wear mask,Naproxen,Ambien CR,Miralax low dose at night,ate breakfast,afternoon coffee,busy,family,good breakfast,excerise,met a new cat,sugar,Plaquenil,woke up late,Gravol,rice,Vitamin b complex,L-theanine,coffee,haircut,Mt. Si ACDC 2x Coco Caps,butternut squash risotto,Better sleep,green tea,THC,Famotidine,playing music,Swimming,Allegra,Flexeril,Slept a lot,Physical therapy,lifted weights,Fish oil,ate potato,no caffeine,Rest,daytime nap,cuddled kitten,Post-op ice device,light breakfast,AOR Zinc-Copper Balance,cocodamol,masturbated,drank a lot,Dancing,bed day,Aleve,3 drinks,made challah,fast food,very little sleep,Claritin,Strattera,no sleep,Zofran,Hydroxyzine,meds,ate peppers,creative writing,Low-FODMAP diet,worked out,exercise,snuggly cat,Buffered Salmon Oil - DHA - EPA,Slept well,Tetralabs Gold Caps CBN,Off work,sugar yesterday,Woke Up With Alarm,Superlong nap,Vitamin C,listen to music ,Tavegyl,Sisu B Calm,Breakfast,Klonopin,Medication,CBD,healthy dinner,studied,Coffee with sugar and cream,drank wine,Vitamin b12,bed late,beans,Vitamin d,Ice pack,Late lunch,Onions,massage,napped well,no breakfast,hiking,More stretching,physical therapy,short nap,shopped,had sex,Lying flat,ate cooked nightshades,Biosil,vacation,Therapy,dairy,slept late,Work,Oxynorm,shopping,gluten,Trigger Points,ate eggs,coursera,>50 oz water,Deep rest,slept in,Sunlight,worked,Thyroid-Pro (CanPrev),Slept during day,salad,didn't eat breakfast,stool softener,ate potato chips,Zinc,Tylenol,Melatonin,Wear shoulder brace,coconut,Alcohol,Migraine Diet,allergy shot,marijuana,Provigil,honey,prayer,drank alcohol,Magnesium glycinate,5-htp,colofac mr,Nasonex,B12 timed release,eye ointment,gluten free,Fruit,Exercise--walking,no lunch,Zopiclone,dairy free,ate dairy,party,Tetralabs Gold Caps,beach,gaming,Protecting back,strapping of shoulder,Astelin,exercised,mass transit,heating pads,Norco,Adderall,heavy physcial exertion,Freezie wrap,Singulair,drive,walked,cooked,Sleep,long walk,drawing,l-theanine,row
,,,,,,,0.0,,,,,,,2.22044604925e-16,,,,,,,,,,,0.0,,,,,,,,,,,2.0,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,0.0,,,,,,,,,,2.22044604925e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22044604925e-16,,,,2.0,,,,,,,Aleve
,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,0.0,,,,2.0,2.0,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,0.0,,2.0,,0.0,,,2.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,,,,,,,2.0,,,,,2.0,,0.0,,,,2.0,,,,0.0,2.0,2.0,,0.0,2.0,,,0.0,,,,2.0,,3 drinks
,,,,,,2.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,made challah
0.0,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fast food
,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,0.0,,,,,,,2.0,2.0,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,0.0,,2.0,,0.0,,,2.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,,,,,,,2.0,,,,,2.0,,0.0,,,,2.0,,,,0.0,2.0,2.0,,0.0,2.0,,,0.0,,,,2.0,,very little sleep
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,Claritin
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,Strattera
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no sleep
,,,,0.00303382842347,0.0,,,2.0,,,,,,,,,,0.0,,,2.0,,2.0,2.0,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,2.0,0.0,,,0.0,,,,,,2.0,,,2.0,0.0,0.0,,,0.00359753714731,0.0,,,,,,,,2.0,,,,2.0,,0.0,2.0,,,,0.0,,0.0,,2.0,,,0.0,2.0,,0.0,0.0,2.0,,,2.0,2.0,,0.0,0.0,2.0,,,0.0,,,2.0,,,,,0.0,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,0.0,2.0,0.0,,,,,,,2.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,,2.0,,,,0.0,0.0,0.0,,2.0,4.04277021525e-05,0.000332232895059,,2.0,0.0,0.0,,2.0,,,,0.0,,Zofran
,,,,2.40425885538e-05,0.0,,,2.0,,,,,,,,,,0.0,,,2.0,,2.0,2.0,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,2.0,0.0,,,0.0,,,,,,2.0,,,2.0,0.0,0.0,,0.00359753714731,,0.0,,,,,,,,2.0,,,,2.0,,0.0,2.0,,,,0.0,,0.0,,2.0,,,0.0,2.0,,0.0,0.0,2.0,,,2.0,2.0,,0.0,0.0,2.0,,,0.0,,,2.0,,,,,0.0,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,0.0,2.0,0.0,,,,,,,2.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,,2.0,,,,0.0,0.0,0.0,,2.0,0.00287578105733,0.0017442011651,,2.0,0.0,0.0,,2.0,,,,0.0,,Hydroxyzine
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,meds
,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,0.0,0.0,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,ate peppers
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,0.0,,,,,,,2.0,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,creative writing
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low-FODMAP diet
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,worked out
,,,,,,0.353013625365,,2.0,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,0.0,,2.0,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,exercise
,,,,,,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,snuggly cat
,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,2.0,,,,,,,0.0,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Buffered Salmon Oil - DHA - EPA
,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,0.0,,,0.0,,,,2.0,2.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,0.0,,2.0,,0.0,,,2.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,,,,,,,2.0,,,,,2.0,,0.0,,,,2.0,,,,0.0,2.0,2.0,,0.0,2.0,,,0.0,,,,2.0,,Slept well
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetralabs Gold Caps CBN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,Off work
,,,,,,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,sugar yesterday
,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,0.0,,,0.0,,,,2.0,2.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,0.0,,2.0,,0.0,,,2.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,,,,,,,2.0,,,,,2.0,,0.0,,,,2.0,,,,0.0,2.0,2.0,,0.0,2.0,,,0.0,,,,2.0,,Woke Up With Alarm
,,,,,,1.08468564695,,,,,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,Superlong nap
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,Vitamin C
,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,0.0,,,0.0,,,,2.0,2.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,0.0,,2.0,,0.0,,,2.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,,,,,,,2.0,,,,,2.0,,0.0,,,,2.0,,,,0.0,2.0,2.0,,0.0,2.0,,,0.0,,,,2.0,,listen to music 
,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,2.0,,,,,,,0.0,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Tavegyl
,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,2.0,,,,,,,0.0,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Sisu B Calm
,,,,,,2.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,Breakfast
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,Klonopin
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medication
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,CBD
,,,,,,0.0,,2.0,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,healthy dinner
,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,0.0,,,0.0,,,,2.0,2.0,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,2.0,,0.0,,,2.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,,,,,,,2.0,,,,,2.0,,0.0,,,,2.0,,,,0.0,2.0,2.0,,0.0,2.0,,,0.0,,,,2.0,,studied
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee with sugar and cream
,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,0.0,0.0,,,,,2.0,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,drank wine
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,Vitamin b12
,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,0.0,,,0.0,,,,2.0,2.0,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,0.0,0.0,,2.0,,0.0,,,2.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,,,,,,,2.0,,,,,2.0,,0.0,,,,2.0,,,,0.0,2.0,2.0,,0.0,2.0,,,0.0,,,,2.0,,bed late
,,,,,,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,beans
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,Vitamin d
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,Ice pack
,,,,2.0,2.0,,,0.0,,,,,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,0.0,,,0.0,,,,2.0,2.0,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,0.0,0.0,,2.0,,0.0,,,2.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,,,,,,,2.0,,,,,2.0,,0.0,,0.0,,2.0,,,,0.0,2.0,2.0,,0.0,2.0,,,0.0,,,,2.0,,Late lunch
,,,,,,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,Onions
2.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,2.0,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,massage
,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,0.0,,,0.0,,,,2.0,2.0,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,2.0,,0.0,,,2.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,,,,,,,2.0,,,,,2.0,,0.0,,,,2.0,,,,0.0,2.0,2.0,,0.0,2.0,,,0.0,,,,2.0,,napped well
2.0,,,,2.0,2.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,2.0,2.0,,,,,0.0,,2.0,0.0,,,,2.0,2.0,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,,2.0,,0.0,,,2.0,,,0.0,,2.0,2.0,,2.0,,2.0,,,,,,,,,,,,0.0,,,,,,2.0,0.0,,,,,,,,0.0,,,,,,,2.0,,,2.0,,2.0,,0.0,,,,2.0,,,2.0,0.0,2.0,2.0,,0.0,2.0,,,0.0,,,,2.0,,no breakfast
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hiking
,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,2.0,,,2.0,,,,0.0,0.0,,,,,,,,,2.0,,,,2.0,,,2.0,,,,,,,,2.0,,,,2.0,,,,2.0,,,2.0,2.0,,,,2.0,,,0.0,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,2.0,,,,,,,0.0,,,,,0.0,,2.0,,,,0.0,,,,2.0,0.0,0.0,,2.0,0.0,,,2.0,,,,0.0,,More stretching
,,,2.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,2.0,2.0,0.0,,,,,0.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0,,2.0,,,,,,,0.0,,,,2.0,,2.0,,0.0,,,,0.0,,0.0,,0.0,,,0.0,,,,,,2.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,physical therapy
,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,0.0,,,0.0,,,,2.0,2.0,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,0.0,,2.0,,,,,2.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,,,,,,,2.0,,,,,2.0,,0.0,,,,2.0,,,,0.0,2.0,2.0,,0.0,2.0,,,0.0,,,,2.0,,short nap
