Diazepam,Ex bike,Ranitidine,Acetyl Carnitine,Lithium,Sunlight,Albuterol Inhaler,Naproxen,Acetaminophen,Amitriptyline,birth control,Magnesium glycinate,Melatonin,N-Acelcysteine,5-htp,Nasonex,Claritin,pilates,Strattera,Creatine,Clonazepam,Ecural,Magnesium gel,Daily walk,Excedrin,Diclofenac,Famotidine,Turmeric,Vitamin b complex,Multi vitamin,Topical ibuprofen,Ligament Restore,Wore arch supports all day,Standing desk,therapy session,Stretching,Astelin,SAD Light Box,Calcium citrate,Vitamin C,antihistamines,Physiotherapy,Vitamin D3,Steps,Magnesium,5 or more portions of fruit and veg,Panamax,THC,cocodamol,Prednisone,Allegra,Klonopin,Cetirizine,Singulair,Benadryl,Fish oil,Ibuprofen 600mg,cough syrup,Tizanidine,Rest,CoQ10,Cranberry extract,Vitamin b12,Sleep,Post-op ice device,Zinc,Vitamin d,Soluble Aspirin,Meditation,Nortriptyline,massage,linseed,row
0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,Wore arch supports all day
,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,0.0,,0.0,Standing desk
,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,0.0,,,,,,therapy session
0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,Stretching
,,,,,0.0,,,,,0.0,-2.22044604925e-16,-2.22044604925e-16,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,,0.0286009935033,,,,,,,,-2.22044604925e-16,,-2.22044604925e-16,,,,,,0.0,,,,,-2.22044604925e-16,,,,,,,,0.0,,,0.0286009935033,0.0286009935033,,-2.22044604925e-16,,0.00089652346299,,,,,0.0,,0.00089652346299,,0.0,-2.22044604925e-16,-2.22044604925e-16,,,,,,Astelin
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,SAD Light Box
,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,Calcium citrate
,,0.0,,,0.0,0.0,,,-2.22044604925e-16,0.0,-2.22044604925e-16,-2.22044604925e-16,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,,0.0286009935033,,,,,,,,-2.22044604925e-16,0.0,-2.22044604925e-16,0.0,,0.0,,,0.0,,-2.22044604925e-16,0.0,0.0,,,,0.0,,,,,0.0,,,0.0286009935033,0.0286009935033,0.0,-2.22044604925e-16,0.0,0.00089652346299,,,,,0.0,,0.00089652346299,,0.0,-2.22044604925e-16,0.0412219155492,,,,1.11022302463e-16,,Vitamin C
,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,antihistamines
,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,0.0,,0.0,Physiotherapy
