Metoprolol,Medications,Viibryd,gluten free diet,physical therapy,Fluvoxamine,Vyvanse,Sunlight,adapten-all,Levothyroxine,birth control,mountain biking,Magnesium glycinate,Nabumetone,neuro,Exercise,5-htp,Nasonex,Claritin,Strattera,Fluoxetine,Clonazepam,Methylphenidate,Armodafinil,Coenzyme q-10,Walking,gluten free,Plaquenil,Dermatologist,Topiramate,Hydroxychloroquine,Tyrosine,Vitamin b complex,therapy session,Ibuprofen,Astelin,Caffeine,Vitamin C,Voltaren,Magnesium,Midodrine,Iodine,fiber art - sewing,THC,Famotidine,psychiatrists,Allegra,Klonopin,dexamphetamine,Quell Unit,Singulair,Sertraline,Fish oil,CoQ10,Ultrasound,Vitamin b12,Cabergoline,Post-op ice device,Zinc,Vitamin d,Love,Melatonin,counselor,Thyroid-Pro,Meditation,Ropinirole,row
,,,,,,,0.0,,,0.0,,-2.22044604925e-16,,,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,0.0550139265595,,,,,,,,,,,,,-2.22044604925e-16,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,,0.0,,,0.0550139265595,0.0550139265595,,,-2.22044604925e-16,,0.01124887845,0.0,,0.01124887845,,0.0,-2.22044604925e-16,-2.22044604925e-16,,-2.22044604925e-16,,,,,Famotidine
,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,psychiatrists
,,,,,,,0.0,,,0.0,,0.0550139265595,,,,0.0550139265595,0.0550139265595,0.0550139265595,-2.22044604925e-16,,,,,,,,,,,,,0.0550139265595,0.0,,0.0550139265595,,0.0550139265595,,,,,,0.0,0.0550139265595,,,0.0,,,0.0550139265595,,0.0167179950154,0.0,,0.0167179950154,,0.0,0.0550139265595,0.0550139265595,,0.0550139265595,,,,,Allegra
,,,,,,,0.0,,,0.0,,0.0550139265595,,,,0.0550139265595,0.0550139265595,0.0550139265595,0.0,,,,,,,,,,,,,0.0550139265595,0.0,,0.0550139265595,,0.0550139265595,,,,,,0.0,0.0550139265595,,0.0,,,,0.0550139265595,,0.0167179950154,0.0,,0.0167179950154,,0.0,0.0550139265595,0.0550139265595,,0.0550139265595,,,,,Klonopin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dexamphetamine
,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,Quell Unit
,,,,,,,0.0,,,0.0,,-2.22044604925e-16,,,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,0.0550139265595,,,,,,,,,,,,,-2.22044604925e-16,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,,0.0,-2.22044604925e-16,,0.0550139265595,0.0550139265595,,,,,0.01124887845,0.0,,0.01124887845,,0.0,-2.22044604925e-16,-2.22044604925e-16,,-2.22044604925e-16,,,,,Singulair
,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sertraline
,,,,,,,0.0,,,0.0,,0.01124887845,,,,0.01124887845,0.01124887845,0.01124887845,0.0167179950154,,,,,,,,,,,,,0.01124887845,0.0,,0.01124887845,,0.01124887845,,,,,,0.0,0.01124887845,,0.0167179950154,0.0167179950154,,,0.01124887845,,,0.0,,-2.22044604925e-16,,0.0,0.01124887845,0.01124887845,,0.01124887845,,,,,Fish oil
,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,,,,CoQ10
,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,0.0,Ultrasound
,,,,,,,0.0,,,0.0,,0.01124887845,,,,0.01124887845,0.01124887845,0.01124887845,0.0167179950154,,,,,,,,,,,,,0.01124887845,0.0,,0.01124887845,,0.01124887845,,,,,,0.0,0.01124887845,,0.0167179950154,0.0167179950154,,,0.01124887845,,-2.22044604925e-16,0.0,,,,0.0,0.01124887845,0.01124887845,,0.01124887845,,,,,Vitamin b12
0.0,,0.107366028941,2.0,,,,,,0.109030906004,,,,,,2.0,,,,,1.97204097953,,,0.000838095470441,,,0.0,,,,,,,,,,0.000174733940071,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0192910133204,,Cabergoline
,,,,,,,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,,,,Post-op ice device
,,,,,,,0.0,,,0.0,,-2.22044604925e-16,,,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,0.0550139265595,,,,,,,,,,,,,-2.22044604925e-16,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,,0.0,-2.22044604925e-16,,0.0550139265595,0.0550139265595,,,-2.22044604925e-16,,0.01124887845,0.0,,0.01124887845,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,Zinc
,2.0,,,2.0,,,0.0,0.0,,0.0,,-2.22044604925e-16,,2.0,2.0,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,0.0550139265595,,,,,0.0,2.0,,,0.0,,,,-2.22044604925e-16,0.0,,-2.22044604925e-16,2.22044604925e-16,-2.22044604925e-16,,,,2.22044604925e-16,0.0,0.0,-2.22044604925e-16,2.0,0.0550139265595,0.0550139265595,,,-2.22044604925e-16,,0.01124887845,0.0,,0.01124887845,,0.0,-2.22044604925e-16,,,-2.22044604925e-16,2.0,,,,Vitamin d
,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,Love
,,,,,,,0.0,,,0.0,,-2.22044604925e-16,,,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,0.0550139265595,,,,,,,,,,,,,-2.22044604925e-16,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,,0.0,-2.22044604925e-16,,0.0550139265595,0.0550139265595,,,-2.22044604925e-16,,0.01124887845,0.0,,0.01124887845,,0.0,-2.22044604925e-16,-2.22044604925e-16,,,,,,,Melatonin
,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,0.0,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,counselor
,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,0.0,Thyroid-Pro
0.0,,0.0364698746261,2.0,,,,,,0.0374611392056,,,,,,2.0,,,,,1.90738994605,,,0.028114204837,,,0.0,,,,,,,,,,0.0158083430305,,,,,,,,,,,,,,,,,,,,0.0192910133204,,,,,,,,,,Meditation
,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,,Ropinirole
