Ritalin,hiking,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,Dehydrated,Florinef,slept not alone,had sex last night,singing,ate breakfast,Solifenacin,Darifenacin,Probiotic,Medical Marijuana,digestive enzyme,travel,Ribose,Monteluklast,slept lots,Socialising,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,holiday,Friends,Piyo,exercise,A little stressed,shopping,SAM-E,very active aqua class,Superlong nap,Cider,TigerBalm,went to bed too late,busy,scary new shit,Social,worked,day at home,Cetraben cream,Much sex,Cinema,Guarana & Ginseng,Ginger,Work hard,Hydrocortisone,Vitamin b12,walked,Cerelle,Passionflower,Singing,row
1.62885965235,0.0,2.0,2.0,0.0,1.99332964723,0.0,2.0,0.0,0.0,2.0,0.0659589621301,1.98727629981,2.0,1.89609469614,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.8813912599,2.0,0.0,2.0,0.0178644274208,2.0,0.0,2.0,0.0,0.0,,2.0,2.0,0.0,0.0,2.0,0.0,0.0927287680626,0.379974750805,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.89609469614,2.0,2.0,1.89609469614,0.0,shopping
0.0,,,,,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,,2.0,,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,SAM-E
2.0,2.0,0.0,0.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,0.0,,,,,,,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,,,,,0.0,,2.0,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,very active aqua class
2.0,,,,,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,Superlong nap
2.0,,,,,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,Cider
2.0,2.0,0.0,0.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,0.0,,,,,,,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,,0.0,,,,,2.0,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,TigerBalm
2.0,,,,,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,went to bed too late
1.24356386025,0.0,2.0,2.0,0.0,1.94971223257,0.0,2.0,0.0,0.0,2.0,0.00236684027251,1.96260015501,2.0,1.62633617548,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.60100049943,2.0,0.0,2.0,0.188072759891,2.0,0.0,2.0,0.0,0.0,0.0927287680626,2.0,2.0,0.0,0.0,2.0,0.0,,0.76742166533,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.62633617548,2.0,2.0,1.62633617548,0.0,busy
1.99993603352,2.0,0.0,0.0,2.0,1.52541995465,0.0,0.0,0.0,0.0,2.0,0.701096703452,1.48737659716,2.0,1.90384813467,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.91711107967,2.0,2.0,2.0,0.243412692645,2.0,0.0,0.0,0.0,2.0,0.379974750805,2.0,0.0,0.0,0.0,0.0,0.0,0.76742166533,,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.90384813467,2.0,2.0,1.90384813467,0.0,scary new shit
2.0,,,,,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,Social
2.0,,,,,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,worked
