Ritalin,Cyclizine,Dehydrated,slept 7 hours,slept not alone,slept lots,singing,ate breakfast,Solifenacin,Coffee,Darifenacin,Probiotic,walked,travel,Ribose,Monteluklast,Socialising,Ate too late,Feverfew,Carbomer eye drops,alverine,dairy,holiday,Friends,had sex last night,exercise,shopping,SAM-E,Superlong nap,Cider,scary new shit,went to bed too late,busy,Social,worked,Cetraben cream,Much sex,Cinema,Guarana & Ginseng,Ginger,Work hard,Vitamin b12,Cerelle,Passionflower,Singing,row
2.0,2.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,Cider
2.0,2.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,scary new shit
2.0,2.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,went to bed too late
2.0,2.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,busy
2.0,2.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,Social
2.0,2.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,worked
0.0,0.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Cetraben cream
2.0,2.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,Much sex
0.0,0.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Cinema
0.0,0.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,Guarana & Ginseng
0.0,0.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,Ginger
2.0,2.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,Work hard
0.0,0.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,Vitamin b12
0.0,0.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,2.0,Cerelle
0.0,0.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,2.0,Passionflower
2.0,2.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,Singing
